row ID,row m/z,row retention time,s200525_Dog_Blank_01.mzXML Peak area,s200525_Dog_4h_02.mzXML Peak area,s200525_Dog_4h_03.mzXML Peak area,s200525_Dog_4h_01.mzXML Peak area,s200525_Dog_Blank_03.mzXML Peak area,s200525_Dog_Blank_02.mzXML Peak area,s200525_HUMAN_4h_01.mzXML Peak area,s200525_HUMAN_4h_02.mzXML Peak area,s200525_HUMAN_Blank_02.mzXML Peak area,s200525_HUMAN_4h_03.mzXML Peak area,s200525_HUMAN_Blank_01.mzXML Peak area,s200525_Mk_4h_02.mzXML Peak area,s200525_Mk_4h_03.mzXML Peak area,s200525_HUMAN_Blank_03.mzXML Peak area,s200525_Mk_4h_01.mzXML Peak area,s200525_Mk_Blank_02.mzXML Peak area,s200525_Mk_Blank_03.mzXML Peak area,s200525_Mou_4h_01.mzXML Peak area,s200525_Mk_Blank_01.mzXML Peak area,s200525_Mou_Blank_01.mzXML Peak area,s200525_Mou_Blank_02.mzXML Peak area,s200525_Mou_4h_03.mzXML Peak area,s200525_Mou_4h_02.mzXML Peak area,s200525_Rat_4h_02.mzXML Peak area,s200525_Mou_Blank_03.mzXML Peak area,s200525_Rat_Blank_02.mzXML Peak area,s200525_Rat_4h_01.mzXML Peak area,s200525_Rat_Blank_03.mzXML Peak area,s200525_Rat_4h_03.mzXML Peak area,s200525_Rat_Blank_01.mzXML Peak area,Unnamed: 33
21,325.1276880566868,33.958638888888885,24846729.54996365,24438935.971411124,25230172.88539947,24236065.88611022,23331592.15162473,24634149.627618395,27298503.83093934,27216586.132153485,29382119.00075808,26896210.05107425,26637308.22126587,25266435.33136719,25102843.67933592,27631389.59516113,26007379.27158781,27044451.857733157,26746222.939755887,25952331.646276254,27063833.51499819,25733745.71829497,26273748.593064874,25706478.53933897,24978417.393943485,25429535.558723155,25836392.116622314,25197300.675835565,25844442.41853088,26143375.70248777,25099641.204204705,24932584.048710316,
23,544.3455492805014,35.84981111111111,2252009.6794433286,2152533.1266479385,2453407.4497167817,3526800.596894527,2720707.592509762,2219486.740097646,672266.12135254,776113.2246142549,657794.4798535133,658801.3421484397,648514.9349267539,310549.86773438076,308474.32997070125,572564.3332812511,276840.1101464827,313505.83724609704,360440.6887353495,2443348.1541308444,468174.23109863,2123239.452792965,2604331.305415027,2315864.438188464,2248788.193193353,2127067.3718945347,2260979.792407216,1786554.2494043058,2115187.311704094,1581940.0157421778,2066178.3863378896,1778734.5547607525,
24,563.3766540644663,33.90830555555556,2778419.163608393,2891878.0180810783,2935877.081005853,2742061.1628320054,2816539.2029638723,2699334.379912099,2799908.1790820123,2834206.518642568,2854275.5477832207,2815982.3885156293,2887866.0623925664,2814831.8729980607,2741760.110175776,2872658.78852049,2799067.7813671767,2949533.479924341,2843968.647421897,3258384.68157717,2881680.4466748107,3132603.538139653,3156003.6843945626,5480590.873500338,2833349.045371059,3103881.1593799167,3021401.467500016,3166972.6219287002,3162056.912856418,3148715.0219823923,3158888.9252636563,3123802.446845695,
25,526.4316605733043,37.33319444444444,2368634.332377934,2256933.223642576,2281146.325161124,2343500.3371459977,2365377.72036132,2346630.8685058216,2362064.939306614,2372383.223183601,2397729.6252246127,2391039.8577929903,2600237.958437484,2444960.089982916,2416374.9142724467,2304912.740263673,2460997.1361426017,2384160.589741234,2388216.3679150846,2359615.0614843844,2377674.3665381246,2385104.6882739468,2357087.678105484,2382805.0881347344,2376782.5835497887,2345519.588745103,2304664.686445313,2378142.084599596,2367257.9552636603,2339296.2564599463,2330380.296142609,2390315.950126951,
26,614.4832971255287,37.22412222222222,2160559.1890722746,2043351.054931678,2055633.274540981,2108556.8294580467,2077961.8189160242,2097907.3558007823,2153242.087831999,2126359.1742187426,2218979.2916211085,2163606.048125045,2340517.5802929546,2220776.376459958,2026772.8327343815,2083961.5419824603,2178459.348999028,2121602.849160191,2129551.48262697,2153829.9235742358,2159220.5893359724,2169189.879736352,2128732.263847664,2237519.3594775125,2207064.302568331,2095342.4940136662,2117620.6733496427,2146162.05477539,2229628.542709948,2217854.4142968613,2152284.9248437304,2174645.280546863,
27,319.22613681863584,33.89823888888889,3648490.906127916,3249202.4659423917,3369686.8700170773,3425081.8926489083,3591324.3994494695,3576260.923662107,3109104.767447494,2921381.8990698257,3429875.527421886,3072582.0747375563,3255214.6722338805,2626901.2631298923,2613523.7402734533,3102320.7031298736,2721678.5290868967,2608750.099215099,2533599.2332397583,1017087.8223596222,2575639.4720910667,2383936.317110601,2302173.9978393675,977628.6243621759,687057.5551318253,4819781.908463174,2193800.0493042055,5936169.3192938315,4745894.932167323,5455044.765964322,4797632.518264121,5998684.993395368,
28,821.3819390021843,33.64652222222222,148845.65082337277,258837.1395703304,3284711.7001122925,5642.62263427731,3451632.771224352,144551.19404296787,282782.0060449224,620557.15794924,3087819.9293847727,3263522.9995733723,3492654.151502691,3503660.629852297,3377466.892219251,700120.7116881968,3251311.150447985,3241671.8128189095,356181.82307128963,2615292.0797460917,3199734.6342053227,3409023.964298705,379610.7173425319,2809348.944472666,1043689.5112890372,3542229.1578271464,1696822.8555517653,3463199.5235479907,3385818.4518777323,3225338.230908204,3100974.1066992013,3509346.6767218173,
29,848.6253492999539,35.28428333333333,1247750.6467773365,1284171.9146093673,1348620.979609367,1226733.5200781552,1120502.2832031185,1104540.456601556,1250368.5031054614,1092547.3161718408,1345780.2154297072,1269140.8584961114,1329763.1794531168,1146329.9661328054,1252338.3688867213,1201612.9329883077,1134189.9672265556,1240832.3576367109,1244632.62949218,1213474.5445898157,1260798.3944335731,1423485.268134765,1403266.6857909954,1070439.2872461034,1049099.6858984309,1388049.0806543024,1292816.2222265548,1399365.5839550695,1362988.8985742182,1353720.9176074136,1398727.6850683729,1355766.9454882862,
30,737.502646478015,34.752405555555555,1315808.8388671796,1404184.4820508263,1340032.3768359295,1407391.564062529,1329328.4882031172,1427788.1178320227,1435994.1924218806,1392323.2138085852,1438350.9484570562,1447770.6261523352,1613116.552939432,1494936.2429492308,1494444.940683604,1551861.9747851468,1500586.55382813,1438042.3066406162,1520200.7408398432,1431689.2942578387,1438448.2577539186,1533628.8636132872,1384254.4904687612,1457542.8624804597,1539670.7007617094,1442201.6104882725,1531402.430332073,1451437.0860546788,1552305.6847460843,1495008.528300772,1519102.2711523343,1492910.8227538725,
31,361.2365719117322,34.55101666666667,2090017.4442236447,2139468.92704588,2139437.9255505474,2235428.776401976,2047313.2334069754,2132899.03745118,2736799.2597070704,2492273.9018359254,2695536.3464062507,2676273.628734121,2414703.894425068,3152143.0132879936,3087000.369270052,2519468.7380371117,3226055.200872187,2668946.8596215714,2576060.1635376057,4540921.168395989,2739870.494353936,4237064.190545642,4322334.755054278,4455079.5832404215,4350211.865261233,8513983.874364026,4131618.4978540223,8337293.317453665,8480215.197832923,7571401.940766588,8534068.62320005,8367807.516136434,
32,658.5097043512383,37.16203333333333,2028708.1773584024,1936527.0858203424,1954686.115131812,1978373.0728271804,1992683.6338769647,1934522.134116233,1975219.6246093619,1946354.558315421,1965251.9542968841,1917606.3726269824,2041393.3118847627,1993851.274472649,1982220.4768945489,1875153.1915527743,1945735.4585595676,1879065.1235595853,1884189.9089453146,2004527.14710938,1930269.2599072403,1970324.1564306715,1973394.0288183568,1962932.9621874918,1965563.7982616997,1977847.430971681,1960164.711298849,1979068.7358496203,1983478.1643456914,1986785.9756542847,1969534.697802708,1978718.083933096,
33,352.2508100624318,34.13987222222223,1376693.7933838004,1241872.8132080329,1280661.8897949385,1302888.1478417888,1254466.640849594,1245431.1485961962,1323425.9655126915,1330513.4651269591,1298587.2127050695,1306608.7361376924,952840.663027338,1288437.3593945638,1312954.5359814244,1239582.1888915957,1281222.867841799,1307936.2191503972,1359946.037373032,1336692.6622875934,1320664.6588232229,1297118.7622558568,1282821.8622460924,1275630.541362295,1297847.6160253857,1267800.4032983251,1305705.4663232628,1214493.5548291192,1249078.3504052695,1187627.357963863,1322320.2641186577,1171199.5747070243,
34,482.40495719846086,37.39865,2080265.4807714843,1994364.3761865012,1926474.3843847732,1974662.8819921669,2035286.205361316,2092430.5424706724,2125523.1638574144,2053135.4594384856,2095079.2622265571,2067233.9163378887,2213917.2898437358,2124162.6796704163,2083689.2081738156,1969482.9151464729,2149360.2396460087,2101348.5892602517,2055257.4307471032,1961677.1189941368,2046576.6735742325,1952553.508740233,2047164.897700201,1989776.6764868062,1995630.3234057687,1974267.907812489,1981267.102675765,2001848.6490820213,1994590.1137353443,2000391.3322363158,1999095.1280639945,2038907.2074780297,
35,315.25537691052494,34.42513888888889,2187088.7305615228,2087582.002947994,2032390.5166149882,2107212.2686202927,2158835.081114525,2238624.9854010055,2320023.767225329,2231496.163608386,2416027.63102783,2262109.1629980505,2094646.215644544,4068787.589025219,3965875.1491082776,2297042.3022168004,4284870.328115211,3872516.3319238173,3897023.756928705,1588908.6334277086,3919861.7401159187,1753959.3678216485,1773371.739793074,1401521.028588876,1311240.7084180014,6174367.821046783,1480183.427231422,6813077.522919029,6192546.222768674,6301706.880991332,6176682.081484422,6861579.135942353,
36,425.21926327404475,36.39518888888889,1148822.3464746024,1227734.6812451312,1209139.6017358794,1148464.7809814385,1090991.728808597,1161199.6896826308,1316057.3260302658,1226633.2259960864,1460138.4861230382,1235982.700664055,1422243.1884375429,1235995.8003564526,1123012.979667992,1320482.6808496148,1221513.453417967,1230122.8094531177,1215551.7410791058,1185266.5075097815,1249441.9839990188,1233855.935649405,1173976.3163085952,1198506.7871386856,1159859.991035158,1202092.643325188,1168027.4237500115,1196516.3777441764,1241023.5672851687,1265026.5766406343,1215550.9231054613,1163312.187031243,
37,403.23676383367365,36.39351111111111,1223803.704975585,1242237.5537597784,1281511.009506874,1205383.532753899,1186530.6393505887,1137443.9005127088,1278926.3618847579,1231034.9939648362,1345262.791220695,1226134.6207519458,1412341.8832373463,1244538.9047949289,1212149.4804907432,1222755.5005566443,1181969.364262694,1200793.7609374926,1154156.0916796916,1154419.3545947415,1206728.965053707,1230409.242138663,1202439.2148144536,1205467.995209974,1181795.4180712907,1236332.3172753835,1209660.099335948,1221681.0858838228,1240239.5816259885,1263290.0296728604,1228248.6465576123,1247764.7985620059,
38,310.8299812308616,2.214432222222222,3228856.262023618,3147972.0553368833,3198333.0031115096,3028397.858745788,3356888.0818416458,3344165.1101469425,3227444.3749807123,3229766.8997157575,3244689.859714081,3262520.8256002814,3325705.703838928,3224345.1696425774,3199941.8624123856,3301425.920975557,3219131.034594695,3311189.9994564517,3234403.374073609,3272750.6117406613,3303483.6427718517,3313291.0130500793,3278506.099435608,3314877.3602801817,3278773.3977791136,3231138.048658966,3316830.9962362056,3170300.2796798088,3210585.24042038,3213226.459278992,3147412.312575379,3114015.4226960763,
39,780.5519242211254,36.903638888888885,12588263.32297362,6573864.162995603,4770893.918535155,9273193.438967282,17334564.68331054,16792873.50983764,13193363.708046876,11692871.61475708,11125631.731887208,12543488.994129645,12921287.39602052,12436806.118457032,11941014.632412113,12918413.171444098,13393675.431729736,13088481.161455074,15495828.571867686,12633121.941309808,12123744.157803955,392364.68867187435,1176588.0552185029,10526737.523308108,12919818.418532735,862094.4179467758,1834185.7925878882,1659889.5879907259,776894.2471911637,1587980.06574463,841548.1442114271,1604232.9270947243,
40,526.298629213989,34.96046111111111,1622097.0250488182,1653456.442568349,1860307.358173817,2202144.96078123,1513725.0953320337,1602399.706181631,18309.199018554576,1575208.6231006237,1189310.2669726491,1533579.3231591703,1189840.7075586058,436434.5317285129,428557.8231738256,1105580.6401562437,453555.22065919,403158.96476073976,393917.7507519508,1597591.782128904,489014.03380860173,1543499.9106689412,1814027.1373315603,1555217.6221826102,1480085.8648242096,3204922.343173809,1330435.68833007,2786903.929965803,3299274.492600078,16626.680043945213,3182415.8218847495,17814.810419921767,
42,446.76299401932886,2.1976427777777783,2624492.7233193973,2595902.7510415046,2538710.997734313,2462360.231495453,2749176.692810182,2727558.718300598,2576206.324673798,2567764.3020370468,2617095.591829713,2560782.8626938183,2627149.980007201,2564026.9649213855,2541257.3619972533,2638227.8462762446,2562100.8908102717,2621350.053832884,2596439.4419501657,2572431.9275639346,2583557.929967713,2635444.3580285655,2593113.382281495,2602071.828932221,2575065.6374064945,2546933.7790310057,2634396.763265319,2486916.219770294,2527744.6414823,2545486.637905394,2470337.4662843617,2482496.399078157,
43,400.37785582717277,35.48396666666667,972752.2883496124,966427.8399999993,945969.1782910216,930056.6622753841,996748.1032665976,1002879.7799218721,1141337.3556347648,1089982.8821777431,1040507.0869335873,1042304.3919921778,1274848.9032812421,1017894.3547363221,987566.5371679723,1100819.1427050715,1000318.1883544921,1007763.9888134848,1034805.8629541352,923070.8628125277,1005874.9802344072,1001356.663681664,1014098.6806811722,980704.8001196305,937068.3456054779,932822.1860351872,992541.3682763736,911360.3628613227,913895.7154443223,936274.3452929764,932811.6593676724,955255.9138329995,
44,702.5361147543857,37.10665555555556,1627153.173945313,1576138.4607544085,1563094.813085931,1566830.768466815,1601441.715634775,1609425.8544873355,1664881.4039746146,1635645.0145214763,1679661.2715185543,1569020.5029296984,1776992.3671826252,1690558.2372119068,1646677.514111355,1599138.9555566674,1579793.5463183562,1595987.6985156252,1634886.0098632788,1531691.4748486304,1668249.8299902366,1608321.4012988273,1613327.3261376903,1629426.229433607,1631038.869638664,1622081.5446435625,1590101.7127246147,1570341.2205957274,1624816.324179686,1578563.0496777343,1569483.70984373,1593448.0739746015,
45,795.5445876000325,35.01247777777778,1085679.046601556,1099309.7384472592,1073880.102724603,1107784.42174804,1064383.9315332032,1082538.2996874934,1198514.7580468678,1204440.7044067702,1156276.1105175712,1229805.0104882738,1257621.1437011887,1114310.514931634,1118271.1785742121,1208866.3035156177,1080102.227304702,1070153.7707324154,1140346.8624609306,1318857.1200341694,1150347.3432519569,1242146.0001269456,1224514.174311526,1364472.7692382757,1274110.5295019457,1238585.4127538987,1304608.441884758,1157106.181406243,1173478.3106933523,1187004.1474902274,2634577.917568353,1077808.8056835986,
46,333.26456923254915,27.080055555555557,2584919.9437814318,2306869.901419064,2157897.3120205705,2238983.1711120587,2584737.4830856333,2599976.452957149,5060460.570921308,4960082.497544861,6643138.4654294085,5049315.600164196,5985747.11890592,7272476.260563955,7975089.760947864,6309549.820275904,7706790.8526272625,9278854.452164952,10252145.796664136,1597916.4594442763,9340960.472039202,2152551.95843842,2035482.6363635238,1556538.772080687,1578491.799283136,9486604.195985893,2162865.090634468,10203022.249248007,9500332.472860444,9446935.936672378,9531489.91044039,10400497.458474703,
47,645.2770956533408,33.93346666666667,2359460.8930468643,2202599.9174414114,2494239.207832025,2383651.698076168,3956015.716420593,2305305.8277734444,2299770.542910153,2236658.2619531346,2648533.9352978584,4318350.709201668,4369891.519221183,4205143.828250737,4219730.554325263,2210784.6945703113,4368893.9630435165,4329440.8866516175,2359678.9523828225,2424788.9903906304,4356911.917442024,4214223.20316956,2314327.6037793057,2461591.626386712,1477984.863525366,4206163.701467905,1950486.1876171941,4157818.385443722,2623695.4048925675,2554445.4489745963,2571037.384096677,4122427.8278686604,
48,339.25216877683874,34.55605,1659830.798398447,1458493.5147949124,1508757.294921882,1513687.7647460953,1372026.1996679632,1692496.6163671934,1651763.6941748294,1609647.4289550688,1567340.6183984391,1649328.5862402243,1475693.0865820432,1908745.6561133028,1900388.7370605725,1507366.6779492197,1986077.0070605415,1568499.1577343652,1635685.5180664125,2889145.307861328,1607922.285927727,2655264.8901464813,2666017.5195702873,2770572.600908246,2734573.533647466,5951005.575659179,2603380.2220801,5855303.810507835,5879054.244912107,5476200.723720699,5958161.796206052,5835741.580400365,
