row ID,row m/z,row retention time,s200525_Dog_4h_02.mzXML Peak area,s200525_Dog_Blank_01.mzXML Peak area,s200525_Dog_4h_01.mzXML Peak area,s200525_Dog_4h_03.mzXML Peak area,s200525_Dog_Blank_02.mzXML Peak area,s200525_Dog_Blank_03.mzXML Peak area,s200525_HUMAN_4h_01.mzXML Peak area,s200525_HUMAN_4h_02.mzXML Peak area,s200525_HUMAN_Blank_02.mzXML Peak area,s200525_HUMAN_Blank_01.mzXML Peak area,s200525_HUMAN_Blank_03.mzXML Peak area,s200525_HUMAN_4h_03.mzXML Peak area,s200525_Mk_4h_03.mzXML Peak area,s200525_Mk_4h_01.mzXML Peak area,s200525_Mk_Blank_01.mzXML Peak area,s200525_Mk_4h_02.mzXML Peak area,s200525_Mou_4h_01.mzXML Peak area,s200525_Mou_4h_02.mzXML Peak area,s200525_Mk_Blank_02.mzXML Peak area,s200525_Mk_Blank_03.mzXML Peak area,s200525_Mou_Blank_02.mzXML Peak area,s200525_Mou_Blank_01.mzXML Peak area,s200525_Mou_4h_03.mzXML Peak area,s200525_Mou_Blank_03.mzXML Peak area,s200525_Rat_4h_02.mzXML Peak area,s200525_Rat_Blank_01.mzXML Peak area,s200525_Rat_4h_03.mzXML Peak area,s200525_Rat_4h_01.mzXML Peak area,s200525_Rat_Blank_03.mzXML Peak area,s200525_Rat_Blank_02.mzXML Peak area,
13,337.2364643158688,34.41507222222222,4174125.320424793,4341252.248129878,4399725.45187376,4322455.0520959385,4522352.623939215,4444981.417043506,4732748.819858358,4508312.243769516,5214574.771824935,4987258.984853555,5015941.800922869,4907565.094406753,8461826.393908678,8902339.04126217,8200867.457360749,8563698.826006955,3391929.237864936,2871523.82795416,8205339.616942115,8243136.463657201,3961838.711237155,3962345.702033678,3288596.9018383906,3752808.3962401864,1.0647788708337449E7,1.2423693076878624E7,1.0823215088789148E7,1.0787562791803207E7,1.1516084541374741E7,1.2368508720076947E7,
14,674.5052715150886,34.50569444444444,3380732.9905712316,3380186.6340137,3340486.859316397,3357641.9043359556,3370538.4439160256,3348411.2864257717,3393719.5183203616,3284542.4327343553,3433513.8123828038,3562643.7760938248,3326422.981943373,3329187.566083965,3408189.781084002,3384387.5301269325,3302776.271562458,3347291.3314062473,3363257.3380565904,3277970.010273496,3394591.4354931437,3299668.843437501,3286938.820908137,3266248.8618261553,4819534.691149676,3291152.409267552,3216658.2045215135,3330043.498046872,3454759.5353906504,3268641.5399414646,3390197.678339913,3374608.7775000627,
15,391.2852309578385,36.35826111111111,8953209.426841442,9167510.165979054,8777770.423877537,9101056.23876074,8877638.152612938,9198234.014064936,1.129617753157223E7,9705555.045313733,3.2657065700032085E7,3990210.3333764724,1.5675434027034843E7,9787074.46687131,9325195.944730254,9353417.665620709,9491550.13800595,9233608.428417955,8759793.036921397,8699751.890222814,9424295.266025381,9607362.126424566,8874912.514667828,8982483.012529584,8975183.32818117,9008419.100932322,8820170.780352453,8977106.522423986,9211555.997264393,8996491.943022525,9175349.922079507,8889237.514274951,
16,573.2549801504076,33.57931666666667,554257.1435156633,387969.5459765997,192083.28154297,0,326149.94906249805,0,0,1676165.56113285,0,0,1901670.0523436854,0,0,0,0,0,270107.33105467027,3511087.060312595,0,808822.7054297054,0,0,0,3110936.0162890414,0,0,0,0,0,0,
17,360.36291944161377,35.02925555555556,3995943.963956894,4052880.226504194,3968355.2817983786,3940141.974340803,4029583.8974514613,4021059.376268148,4218745.718138561,4160818.7216290575,4056293.4677026286,4359182.305398629,4153005.3924868717,4204902.386935108,4153878.743009018,4191850.223846153,4201982.815129404,4191205.462759382,4031395.464202127,4048749.6646172935,4215583.0947592035,4189392.533947128,4037283.3394363634,4020940.9182623285,4069050.9271966415,4033086.2020346755,4020320.1500282134,3978538.3553891038,4031986.275231158,4010128.098115218,3992098.0287170233,4039325.422594588,
18,502.297933523284,35.03596111111111,3065458.237382798,3217820.9737548656,4061807.6185449073,3435517.348154276,3024534.2748925597,3082364.5716943336,1887465.293593746,1999964.0174804963,1606190.0273730345,1495476.7064551073,1464728.5882519584,1954883.798662115,552065.0924414025,581828.5947949309,655451.4421289099,574496.4093457044,1348254.9292724498,1260077.1896679627,559346.676669916,550686.4506445241,1497350.5841503774,1291711.8459765501,1325166.0078344734,1214015.9830371067,2459532.835498032,2166543.5737231714,2432564.5435839747,2626004.4113281104,1846454.4825097546,2048835.6506542845,
19,732.5504004289713,34.75576111111111,3067967.3770362083,8413404.878591307,3209522.6006543487,3244816.374418911,6809417.33495941,5464520.880004867,7455630.711400142,7479425.8890978955,7319249.920126998,7530665.235144017,6871602.27869963,7416522.883554974,8035753.949793717,7220347.357984618,8270687.175441296,7181961.889563005,7410690.215976598,7614712.3531722985,7948984.982370584,7590219.353815921,7892755.052596451,6656683.949239509,6933205.833945305,7595803.3216706,2690223.6576464684,2998150.1556298397,2654980.6844628765,2539978.381894516,2874717.9996923674,2966466.503071277,
20,558.4203512973951,33.91501666666667,4365387.899267602,4565188.609272453,5068104.994101529,4057321.503415518,4310147.46316405,5638537.954484571,4410747.031035139,4481230.52722655,4533414.587412129,4559178.536611305,4205381.025087863,4436648.192978516,4499513.08018554,4409270.854746085,4333568.478281264,4436706.247138695,5421041.45202151,4969517.140888624,4303989.144384796,4447135.592526878,4391972.644907271,4492904.875067142,5465764.192822227,4427642.468193386,5446410.238679241,5419934.66233886,5356225.428286109,4316129.701999475,5401904.329878497,4399698.454570296,
21,301.14432914446405,35.676972222222226,2075441.1800537205,2022280.0956738808,2090197.982780741,2163344.386535635,2028967.984990258,2035586.2161132859,1667948.0029077358,1785403.9742334124,1454679.025825181,1494764.7252343541,1510448.2379833912,1861173.680534633,2064305.7820312374,2149964.1278466955,2155466.778500969,2104312.5222949153,2102211.366591784,2066254.0882861202,2162305.458544871,2160745.684174792,2101537.4944384643,2112349.8542809943,2043419.8417431517,2038254.4087646506,2151253.802353494,2108552.849287104,2118664.5019897344,2136103.2685302827,2197143.6419775276,2180256.5749414028,
22,393.2853289301133,33.9569611111111,1610652.6591064278,2279965.772944335,1914749.4411987206,1617962.3523388386,2071142.4161523294,1737004.3899731808,1985429.8319238524,2311266.434262653,1560827.766057122,1862966.3022802388,1799435.9528368816,1883484.0227099361,1909097.5606982564,2120859.4712207294,1790874.518266632,2052889.2932104275,1755245.0367773734,1858527.5384277322,1868249.1970751993,1997074.4491308928,1861503.906682174,1848841.70441406,1603244.9679040373,1919864.7781738318,1191479.8877636893,1264007.060527352,1067824.3238622958,1490784.4902929347,1261778.4834375007,1019849.684414072,
23,790.587867515763,35.010799999999996,1957113.5009374882,2048271.0035546748,1953622.9471874882,2004735.6155078004,1882314.323789051,2039749.335048828,2276789.8278417834,2236350.3299609963,2199702.4668847583,2415820.5857519796,2158066.3565429607,2296287.888642569,2335557.2823046753,2283803.9846924087,2281490.8602148504,2355426.770263658,1739643.6784374896,1608212.8419531153,2309290.097812489,2340673.678017569,1591858.9992968654,1744343.1877343645,1892386.8672656137,1591925.2269531155,1612728.5559374904,1885708.4321875102,1549395.2747656156,1613752.9021874904,2806861.0725830067,2144696.453789064,
24,621.4165749094311,34.22880555555555,2415268.609746114,2488032.2851464776,2432626.3327734275,2282161.8578124973,2425026.7370996047,2491844.627675774,2643315.3482177625,2585088.6822460806,2506359.968984345,2668793.9217968597,2526421.282792958,2537332.89904297,2594250.410458984,2556533.0792968776,2636113.25348635,2599286.1287597804,2687089.4004492476,2863467.3273290796,2604298.7160254214,2660268.01990722,2329514.8339453293,2708315.307856435,2722768.8837695257,2458083.8291015886,2444019.338886696,2451245.4688769383,2688595.935644517,2693787.9123730524,2432695.0495703206,2491780.5129882703,
25,935.4047730330669,17.203041666666664,2270677.25743927,0,2285858.104838249,2366440.5624753,0,0,2218385.5073217726,2296504.5186441005,0,0,0,2293187.425122834,142905.67572937216,118258.57453178348,0,138889.32894500726,1774759.5459025586,1753242.9649206554,0,0,608.5001026153604,0,1750471.6700790299,0,775734.2949102777,0,599809.7101239015,571113.5080340542,0,0,
26,320.1720346142547,33.95528333333332,2.6985651971185308E7,2.684078326882691E7,2.6091369077634275E7,2.613982208863281E7,2.6291778640748296E7,2.5958477923528425E7,2.7616740834296864E7,2.8394234054603886E7,2.7146122681680948E7,2.812432177667845E7,2.5993044442031246E7,2.758049694631107E7,2.614137767484371E7,2.7513468263698723E7,2.7720029448918458E7,2.5809626697382808E7,2.586509200319401E7,2.551511519339292E7,2.76315289146033E7,2.7215082412014186E7,2.587216997995487E7,2.659962944158753E7,2.598114796173947E7,2.650174488764892E7,2.5821321011685207E7,2.5920418933650516E7,2.5767533390919186E7,2.6173770332120363E7,2.7244986164251078E7,2.5746988774709456E7,
27,568.2993832869288,33.57931666666667,398461.8317969026,473372.55386723543,221260.26914062648,0,335886.14593749796,0,0,1274911.8278125282,0,0,1312499.9746874669,0,0,0,0,0,289922.168164044,2257927.867812556,0,894697.0955468948,0,0,0,2048376.6268749945,0,0,0,0,0,0,
28,679.455371645505,34.50066111111111,3474130.0761254537,2103908.500566423,1834499.0855273416,2004352.876152368,3064071.480688472,1977432.341435557,2175768.881992225,2133741.389042953,1977413.9229492175,2200043.7042383114,2136419.5352539085,2160365.533564451,2061935.754238307,2155788.592324222,2160128.0732616913,2199417.124951154,3722196.4980492834,3728449.8605566695,2191355.027626927,3680562.858391128,3694879.6558550545,3725516.2532665883,2594211.1004590336,3696306.085468738,2561105.2323340154,3277807.872207019,3301617.4254712127,2583177.560024433,3330231.586240289,3733089.614033252,
29,325.12768890388594,33.95863888888888,2.4459475409487143E7,2.489487315524716E7,2.4384000637174524E7,2.535511291734923E7,2.4650494356538985E7,2.3331592151624735E7,2.7465679776571054E7,2.66651002525592E7,2.9519073029979296E7,2.6637308221265867E7,2.7765720487898704E7,2.6896210051074248E7,2.510284367933592E7,2.6007379271587808E7,2.706383351499819E7,2.5266435331367187E7,2.6079362873750325E7,2.512444608351135E7,2.7044451857733153E7,2.6746222939755883E7,2.6386653033933405E7,2.5733745718294974E7,2.5402062582463976E7,2.591976930295883E7,2.5429535558723155E7,2.4932584048710313E7,2.5099641204204705E7,2.5844442418530878E7,2.6289272680025924E7,2.5197300675835565E7,
30,821.3821455357597,33.64988333333333,258837.13957033042,148845.65082337277,4812718.730378413,3879257.5090087806,144551.19404296787,3453617.819768053,282782.0060449224,620557.15794924,3087819.9293847727,3492654.151502691,700120.7116881968,3263522.9995733723,3377466.892219251,3255151.866482378,3202848.5685815434,3503660.629852297,2615292.0797460917,951028.1764062488,3241671.8128189095,356181.8230712896,379610.7173425319,3409023.964298705,2809348.944472666,1696822.8555517653,3542229.157827146,3509346.6767218173,3100974.1066992013,3388440.496142564,3225338.2309082034,3463199.5235479902,
31,563.3763106959983,33.908305555555565,2891878.018081078,2778419.163608393,2742061.1628320054,3522182.7005615155,2699334.379912099,2981728.4359277403,2799908.1790820123,2834206.518642568,3154853.3215478677,2887866.0623925664,2872658.78852049,2815982.3885156293,2741760.110175776,2799067.781367177,3216597.497270515,2814831.8729980607,3258384.68157717,5249976.856957373,2949533.479924341,2843968.647421897,3156003.6843945626,5459828.910498964,5486498.937881136,4344519.210766614,3103881.1593799167,3123802.446845695,3158888.925263656,3162056.9128564186,3148715.0219823928,3166972.6219287,
34,760.5838926663613,36.91370555555556,6283315.85898928,7990980.776015625,6899186.877408443,2.1208193073800668E7,8642964.334619133,8855045.036984269,1769527.6743109145,1672778.6334228502,2222130.390339348,2858001.8925573775,2082352.5534316935,1856401.446796873,6418971.310771501,5885501.357019467,2561594.7246051026,5958455.658789033,9588245.66782774,9605385.68995365,3771593.932214362,5155293.977304714,2.1111822988390185E7,2.241179939253967E7,7872812.15239075,2.0785690176356196E7,2.4147921082411952E7,1.98965215345819E7,2.432851783084565E7,2.312216334842593E7,2.025866574225602E7,1.978571760812134E7,
35,361.23664123479386,34.55101666666667,2139468.92704588,2090017.4442236447,2235428.7764019757,1873753.3435254064,2132899.03745118,1690261.2163232455,2736799.2597070704,2195773.7407385013,2153774.2209619246,1899706.4909717026,2028295.0355761752,2676273.6287341206,2423763.1329516945,2511944.211464844,1998412.5074047758,2470585.0995947504,4540921.168395989,4350211.865261233,1921459.7186230333,1982415.8294336074,4322334.755054278,4237064.190545642,4455079.583240422,4131618.4978540223,8513983.874364026,8367807.516136434,8534068.62320005,8480215.197832923,7571401.940766587,8337293.317453665,
36,526.4313530414066,37.333194444444445,2256933.2236425765,2368634.332377934,2343500.3371459977,2281146.325161124,2346630.8685058216,2317756.070139155,2362064.939306614,2330255.292275403,2354797.949628918,2600237.958437484,2304912.740263673,2391039.8577929903,2416374.9142724467,2460997.1361426017,2377674.3665381246,2444960.089982916,2359615.0614843844,2376782.5835497887,2349257.2118066684,2388216.3679150846,2357087.678105484,2385104.688273947,2382805.0881347344,2304664.6864453135,2345519.588745103,2390315.950126951,2330380.296142609,2358116.2405682304,2339296.2564599463,2378142.084599596,
37,544.347319091573,35.84981111111111,2152533.1266479385,2354562.1006640233,3526800.596894527,2453407.449716782,2219486.7400976466,2832563.2963525294,733130.0813867169,837666.5667431619,710025.9778076136,729905.0475195318,641232.5213720715,760477.0210937536,385409.3814746078,413852.7744384729,491337.9646679631,390647.10428711225,2443348.1541308444,2287368.9866259717,389963.4412011759,387723.83102538704,2604331.305415027,2216672.012753905,2387216.71480955,2260979.7924072156,2127067.3718945347,1778734.5547607525,2163451.416972661,2237451.255229487,1581940.0157421778,1786554.249404306,
38,848.6253711147444,35.28428333333333,1284171.9146093673,1247750.6467773363,1226733.5200781552,1348620.979609367,1104540.456601556,1120502.2832031185,1250368.5031054611,1092547.3161718408,1345780.2154297072,1329763.1794531168,1201612.9329883077,1269140.8584961111,1252338.3688867213,1134189.9672265556,1260798.3944335731,1146329.9661328054,1213474.5445898157,1049099.685898431,1240832.357636711,1350247.674296856,1403266.6857909954,1423485.268134765,1070439.2872461034,1292816.2222265548,1388049.0806543024,1355766.9454882862,1398727.685068373,1362988.8985742182,1353720.9176074136,1399365.5839550695,
39,513.1907562879128,18.705291666666668,3623558.3851258843,0,3556440.4972424316,3592259.549300538,0,0,1192025.4570532227,1214854.0828778073,0,0,0,1183713.8074206528,1458506.8773004115,1466508.016042482,0,1481984.4272347998,2090732.955983279,2020455.7142242417,0,0,0,808.497169189471,2129382.49466003,0,584074.2056787102,0,584809.9455944839,587479.5193585216,0,0,
40,614.4831389766645,37.22412222222223,2043351.054931678,2160559.1890722746,2169492.9074756214,2055633.2745409808,2097907.3558007823,2077961.818916024,2153242.087831999,2126359.1742187426,2218979.2916211085,2340517.5802929546,2083961.5419824603,2163606.048125045,2026772.8327343818,2178459.348999028,2159220.5893359724,2220776.376459958,2153829.9235742353,2207064.302568331,2121602.849160191,2129551.48262697,2128732.263847664,2169189.879736352,2237519.3594775125,2117620.6733496427,2095342.4940136662,2174645.280546863,2152284.9248437304,2229628.5427099476,2217854.4142968613,2146162.05477539,
41,737.5002486296585,34.752405555555555,1404184.4820508263,1657338.409995104,1407391.564062529,1340032.3768359295,1605200.9788476652,1577677.9404785216,1579380.2688281343,1570658.254238276,1582767.9471484493,1724726.5248339802,1551861.974785147,1624576.54089844,1494444.9406836042,1500586.55382813,1438448.2577539186,1494936.242949231,1716611.2768359473,1714062.848066394,1438042.3066406162,1520200.7408398432,1384254.4904687612,1678137.1878125062,1668241.6680273423,1531402.4303320732,1442201.6104882725,1694791.7388280872,1669552.6370507616,1757792.7960741958,1729319.2775781215,1772481.1057812546,
42,377.1309329473137,12.425352499999999,2697638.8301035143,0,2570947.0370393377,2644875.343189316,0,784.1858517455987,8706311.881168257,8748963.57943622,0,0,0,8781082.918469133,4045200.994559018,4026091.7268615756,613.7941782760709,4049565.832800901,3831448.639192416,3776266.491830227,0,632.2568336181766,0,4307.179271331794,3890874.0624246527,611.3505265045254,1700242.077336852,0,1754063.7928874204,1756170.9689939253,0,0,
43,425.22072170437536,36.395188888888896,1267853.1391015842,1234359.3548144398,1213395.1415234376,1260313.5688306151,1210812.327836927,1164567.8059570473,1345178.561533209,1315025.4349413961,1518316.4166894618,1422243.1884375429,1421629.293251974,1318314.0365136596,1220377.3042334071,1275411.1530566372,1305162.6532568256,1246221.6818261975,1242772.3167578261,1217225.2021777215,1283656.644804673,1252443.0775146396,1256476.1410253907,1233855.935649405,1231296.3383398561,1251066.4157910366,1256646.298613285,1274102.2486694313,1267822.696582024,1329587.4473046993,1265026.5766406343,1280686.635537142,
45,403.2392984662527,36.39351111111112,1242237.5537597784,1421276.3836474463,1461812.5651940915,1281511.009506874,1137443.9005127088,1186530.6393505887,1333491.0273437537,1522569.887989492,1398600.7910742222,1549293.6074585412,1504508.4424365412,1395616.3166259653,1325589.309023446,1409862.5644457955,1365614.8508398344,1356230.673271508,1444892.5567285288,1181795.4180712907,1382186.1411657576,1403090.5104559232,1202439.2148144536,1230409.242138663,1276475.852487805,1276439.31184084,1236332.3172753835,1247764.798562006,1228248.6465576123,1240239.5816259885,1263290.0296728604,1221681.0858838228,
46,526.298539952843,34.977238888888884,1738890.7605859288,1622097.025048818,2202144.9607812306,1860307.3581738172,1602399.7061816307,1513725.0953320335,1562365.3091699071,1575208.6231006237,1277355.9176464884,1289525.6048632897,1171356.3065136652,1624277.748173823,478041.17790038395,463209.21764649416,547596.8343359441,485192.74729492073,1672223.3429125915,1524862.8095239147,432480.8533105415,433755.1451123058,1814027.1373315605,1588826.4477392528,1610658.6375707944,1440698.681240228,3204922.343173809,2976210.336210952,3182415.8218847495,3299274.492600078,2678684.582705062,2786903.929965803,
47,319.22617051761364,33.89823888888889,2430488.3316015764,2686655.6783691305,2470583.7218359215,2413181.7302343706,2655259.6023925813,2600797.951923832,2115774.2854687334,1825149.2533984294,2290885.2550830315,2244750.1296777236,2222114.6951562394,2029411.1345068354,1817783.477910172,1839519.490732405,1677779.4901513695,1807666.1751074337,1036917.8485131847,839088.1655224527,1705323.4203222883,1685382.8065454345,1429460.8820459037,1425963.9417578168,994374.3417871027,1456412.04291993,3449560.665195333,5998684.993395367,4797632.518264121,3396267.6441796543,4266561.847236294,5936169.319293831,
48,658.508394557223,37.16203333333332,1936527.0858203424,2009452.367597662,1957619.4477637017,1954686.115131812,1934522.134116233,1986761.5672363504,1943720.063164033,1946354.558315421,1911518.7252148488,2036042.3762011547,1874552.1201269939,1881303.3704004127,1982220.4768945486,1945735.4585595673,1866371.6494140779,1993851.2744726494,2000977.3509277324,1977070.1162304438,1879065.1235595853,1838186.0764160322,1973394.028818357,1970324.1564306715,1978047.2221404912,1935529.107011739,1997754.371234116,1978718.083933096,1918925.6535595339,1984591.2919555528,1986785.9756542852,1979068.7358496205,
49,315.257595582177,34.425138888888895,1751954.616555171,1805465.1904150452,1764384.7935522273,1731235.5147900414,1806820.7087256091,1757425.3000342,1572777.6437597594,1553107.6672753943,1550780.1482616954,2094646.2156445442,1580317.342783218,1577976.3694531294,3965875.1491082776,4284870.328115211,3919861.740115919,4068787.589025219,1747786.4397314114,1543486.6901098837,3872516.3319238178,3897023.7569287047,2022518.2433715581,1693039.9081054716,2169778.2641311637,2014606.966206035,6177897.030095092,6861579.135942352,6176682.081484422,6192546.222768674,6301706.880991332,6813077.522919029,
50,352.2489753687883,34.13987222222222,1241872.8132080329,1376693.7933838004,1391207.5517309378,1280661.8897949385,1245431.1485961962,1428976.3253808406,1323425.9655126915,1330513.465126959,1298587.2127050697,1011025.2172753839,1318931.0535497956,1306608.7361376924,1312954.5359814244,1281222.867841799,1344693.263017555,1288437.3593945638,1405739.6433715834,1297847.6160253857,1402322.953674316,1359946.037373032,1282821.8622460924,1365511.9026489274,1275630.541362295,1468998.1138427863,1401479.3090551563,1171199.5747070243,1322320.2641186577,1249078.3504052695,1497535.8878515447,1508875.4389355371,
